,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-01,85.94465379,40.3200255486626,123.2368301745727,85.94465379,85.94465379,-2.813348118158402,-2.813348118158402,-2.813348118158402,0.42032225744010926,0.42032225744010926,0.42032225744010926,-3.233670375598512,-3.233670375598512,-3.233670375598512,0.0,0.0,0.0,83.1313056718416
1,2022-01-02,85.90760209055335,45.046411181385466,127.2783885203934,85.90760209055335,85.90760209055335,0.2162888697034979,0.2162888697034979,0.2162888697034979,3.898595146959371,3.898595146959371,3.898595146959371,-3.682306277255874,-3.682306277255874,-3.682306277255874,0.0,0.0,0.0,86.12389096025686
2,2022-01-03,85.87055039110673,39.817898301694974,124.14508006106537,85.87055039110673,85.87055039110673,-2.7255858013318983,-2.7255858013318983,-2.7255858013318983,1.1954079175062435,1.1954079175062435,1.1954079175062435,-3.9209937188381416,-3.9209937188381416,-3.9209937188381416,0.0,0.0,0.0,83.14496458977483
3,2022-01-04,85.83349869166008,35.17194300794695,116.032067123238,85.83349869166008,85.83349869166008,-9.83415190341313,-9.83415190341313,-9.83415190341313,-5.88497095848518,-5.88497095848518,-5.88497095848518,-3.9491809449279494,-3.9491809449279494,-3.9491809449279494,0.0,0.0,0.0,75.99934678824695
4,2022-01-05,85.79644699221345,45.47333210229062,132.05462477269015,85.79644699221345,85.79644699221345,2.283973375683755,2.283973375683755,2.283973375683755,6.056503697206511,6.056503697206511,6.056503697206511,-3.7725303215227566,-3.7725303215227566,-3.7725303215227566,0.0,0.0,0.0,88.0804203678972
5,2022-01-06,85.75939529276681,38.90801554400217,123.71810430872742,85.75939529276681,85.75939529276681,-4.709785604220573,-4.709785604220573,-4.709785604220573,-1.3070456147958784,-1.3070456147958784,-1.3070456147958784,-3.402739989424695,-3.402739989424695,-3.402739989424695,0.0,0.0,0.0,81.04960968854624
6,2022-01-07,85.72234359332016,36.742373445456494,119.95057405522309,85.72234359332016,85.72234359332016,-7.236008205833515,-7.236008205833515,-7.236008205833515,-4.3788124457949795,-4.3788124457949795,-4.3788124457949795,-2.857195760038536,-2.857195760038536,-2.857195760038536,0.0,0.0,0.0,78.48633538748665
7,2022-01-08,85.68529189387353,39.49269845677781,126.5450719649034,85.68529189387353,85.68529189387353,-1.7381406447923347,-1.7381406447923347,-1.7381406447923347,0.4203222573931013,0.4203222573931013,0.4203222573931013,-2.158462902185436,-2.158462902185436,-2.158462902185436,0.0,0.0,0.0,83.94715124908119
8,2022-01-09,85.64824019442688,46.859449969357634,129.31453637551033,85.64824019442688,85.64824019442688,2.564963218561585,2.564963218561585,2.564963218561585,3.8985951469540576,3.8985951469540576,3.8985951469540576,-1.333631928392473,-1.333631928392473,-1.333631928392473,0.0,0.0,0.0,88.21320341298846
9,2022-01-10,85.61118849498024,43.99626281954046,125.5732325260325,85.61118849498024,85.61118849498024,0.7818713559646336,0.7818713559646336,0.7818713559646336,1.195407917491576,1.195407917491576,1.195407917491576,-0.4135365615269425,-0.4135365615269425,-0.4135365615269425,0.0,0.0,0.0,86.39305985094488
10,2022-01-11,85.5741367955336,38.906269743934985,119.99916296023758,85.5741367955336,85.5741367955336,-5.316836591815735,-5.316836591815735,-5.316836591815735,-5.8849709584793475,-5.8849709584793475,-5.8849709584793475,0.5681343666636124,0.5681343666636124,0.5681343666636124,0.0,0.0,0.0,80.25730020371788
11,2022-01-12,85.53708509608695,52.937601175350345,133.75433747620798,85.53708509608695,85.53708509608695,7.632310061652143,7.632310061652143,7.632310061652143,6.056503697201962,6.056503697201962,6.056503697201962,1.5758063644501807,1.5758063644501807,1.5758063644501807,0.0,0.0,0.0,93.1693951577391
12,2022-01-13,85.50003339664033,49.42836280225865,129.07510287890588,85.50003339664033,85.50003339664033,1.2659974576910655,1.2659974576910655,1.2659974576910655,-1.307045614798479,-1.307045614798479,-1.307045614798479,2.573043072489545,2.573043072489545,2.573043072489545,0.0,0.0,0.0,86.7660308543314
13,2022-01-14,85.46298169719368,42.20065854853898,127.36317071426981,85.46298169719368,85.46298169719368,-0.8552165837428318,-0.8552165837428318,-0.8552165837428318,-4.378812445815828,-4.378812445815828,-4.378812445815828,3.5235958620729955,3.5235958620729955,3.5235958620729955,0.0,0.0,0.0,84.60776511345085
14,2022-01-15,85.42592999774703,49.756698213936545,131.0759506186678,85.42592999774703,85.42592999774703,4.812772218804363,4.812772218804363,4.812772218804363,0.4203222574047015,0.4203222574047015,0.4203222574047015,4.39244996139966,4.39244996139966,4.39244996139966,0.0,0.0,0.0,90.2387022165514
15,2022-01-16,85.3888782983004,49.08621913421076,136.11038018141193,85.3888782983004,85.3888782983004,9.045433054076819,9.045433054076819,9.045433054076819,3.8985951469668136,3.8985951469668136,3.8985951469668136,5.146837907110006,5.146837907110006,5.146837907110006,0.0,0.0,0.0,94.43431135237722
16,2022-01-17,85.35182659885376,51.7876396721692,134.50124003478945,85.35182659885376,85.35182659885376,6.952599923871971,6.952599923871971,6.952599923871971,1.1954079174886685,1.1954079174886685,1.1954079174886685,5.7571920063833035,5.7571920063833035,5.7571920063833035,0.0,0.0,0.0,92.30442652272573
